id,item
k0001,chocolate
k0001,Corn
k0001,Sugar
k0001,Dill
k0001,Yogurt
k0001,Ice cream
k0001,Bread
k0002,Milk
k0003,chocolate
k0003,Butter
k0003,Dill
k0003,Milk
k0003,Ice cream
k0003,Yogurt
k0003,Apple
k0004,Dill
k0004,Butter
k0004,Milk
k0004,Cheese
k0004,Onion
k0004,Nutmeg
k0005,Bread
k0005,Apple
k0006,Butter
k0006,Bread
k0006,Unicorn
k0006,Ice cream
k0006,chocolate
k0006,Apple
k0006,Nutmeg
k0006,Cheese
k0006,Dill
k0006,Yogurt
k0007,Onion
k0007,Ice cream
k0007,Milk
k0007,Butter
k0007,Eggs
k0007,Nutmeg
k0007,Kidney Beans
k0007,Yogurt
k0008,Sugar
k0008,Yogurt
k0008,Nutmeg
k0008,Apple
k0008,Cheese
k0008,Eggs
k0009,chocolate
k0009,Sugar
k0009,Ice cream
k0009,Dill
k0009,Onion
k0009,Apple
k0009,Milk
k0009,Yogurt
k0009,Nutmeg
k0009,Unicorn
k0009,Corn
k0009,Eggs
k0010,Apple
k0010,Eggs
k0010,Dill
k0010,Unicorn
k0010,Ice cream
k0010,Sugar
k0010,Milk
k0010,chocolate
k0010,Onion
k0011,Unicorn
k0011,Cheese
k0011,Sugar
k0011,Ice cream
k0011,Bread
k0011,Apple
k0012,Cheese
k0012,Yogurt
k0012,Nutmeg
k0012,chocolate
k0012,Kidney Beans
k0012,Sugar
k0012,Apple
k0012,Bread
k0012,Ice cream
k0012,Eggs
k0012,Dill
k0013,chocolate
k0013,Unicorn
k0013,Onion
k0014,Ice cream
k0014,Yogurt
k0014,Sugar
k0015,Kidney Beans
k0015,Butter
k0016,Yogurt
k0017,Sugar
k0017,Butter
k0017,Cheese
k0017,Apple
k0017,Nutmeg
k0017,Bread
k0017,Ice cream
k0018,Apple
k0018,chocolate
k0018,Yogurt
k0018,Eggs
k0019,Cheese
k0019,Bread
k0019,Kidney Beans
k0019,Sugar
k0020,Bread
k0020,Sugar
k0020,Corn
k0020,Unicorn
k0020,Milk
k0020,Kidney Beans
k0020,Nutmeg
k0020,Ice cream
k0021,Apple
k0021,Cheese
k0021,Ice cream
k0021,Unicorn
k0021,Sugar
k0022,Kidney Beans
k0022,Yogurt
k0022,Cheese
k0022,Unicorn
k0022,Butter
k0022,Apple
k0023,Cheese
k0023,Ice cream
k0023,Dill
k0023,Unicorn
k0023,Eggs
k0023,chocolate
k0023,Bread
k0023,Milk
k0023,Yogurt
k0023,Kidney Beans
k0024,Kidney Beans
k0024,Butter
k0024,Ice cream
k0024,Sugar
k0024,Cheese
k0024,Bread
k0024,Eggs
k0024,chocolate
k0024,Unicorn
k0025,Kidney Beans
k0025,Milk
k0025,Onion
k0025,Nutmeg
k0025,Bread
k0025,Corn
k0025,Unicorn
k0025,Yogurt
k0025,Eggs
k0026,Eggs
k0026,Yogurt
k0026,Bread
k0026,Butter
k0026,chocolate
k0026,Milk
k0027,Corn
k0027,chocolate
k0027,Bread
k0027,Cheese
k0027,Unicorn
k0027,Butter
k0027,Kidney Beans
k0027,Milk
k0028,Butter
k0028,Bread
k0029,Butter
k0029,Milk
k0029,Unicorn
k0029,Kidney Beans
k0029,chocolate
k0029,Nutmeg
k0029,Yogurt
k0029,Bread
k0030,Onion
k0030,Bread
k0030,Apple
k0030,Ice cream
k0030,Yogurt
k0031,chocolate
k0031,Dill
k0031,Corn
k0031,Milk
k0031,Unicorn
k0032,Bread
k0032,Yogurt
k0032,Apple
k0032,Dill
k0032,Milk
k0032,Butter
k0032,Unicorn
k0033,Cheese
k0033,Eggs
k0033,Kidney Beans
k0034,Sugar
k0034,Dill
k0034,Nutmeg
k0034,Milk
k0035,Dill
k0035,chocolate
k0035,Onion
k0035,Bread
k0035,Ice cream
k0036,Eggs
k0036,Dill
k0036,Unicorn
k0036,Cheese
k0036,Onion
k0036,chocolate
k0037,Cheese
k0037,Apple
k0037,Yogurt
k0037,Nutmeg
k0037,Corn
k0037,Onion
k0037,Dill
k0037,Unicorn
k0037,Kidney Beans
k0037,chocolate
k0037,Ice cream
k0038,chocolate
k0038,Ice cream
k0038,Milk
k0038,Nutmeg
k0038,Eggs
k0038,Corn
k0039,Butter
k0039,Kidney Beans
k0039,Sugar
k0040,Cheese
