id,item
hkd1,chocolate
hkd1,Corn
hkd1,Sugar
hkd1,Dill
hkd1,Yogurt
hkd1,Ice cream
hkd1,Bread
hkd2,Milk
hkd3,chocolate
hkd3,Butter
hkd3,Dill
hkd3,Milk
hkd3,Ice cream
hkd3,Yogurt
hkd3,Apple
hkd4,Dill
hkd4,Butter
hkd4,Milk
hkd4,Cheese
hkd4,Onion
hkd4,Nutmeg
hkd5,Bread
hkd5,Apple
hkd6,Butter
hkd6,Bread
hkd6,Unicorn
hkd6,Ice cream
hkd6,chocolate
hkd6,Apple
hkd6,Nutmeg
hkd6,Cheese
hkd6,Dill
hkd6,Yogurt
hkd7,Onion
hkd7,Ice cream
hkd7,Milk
hkd7,Butter
hkd7,Eggs
hkd7,Nutmeg
hkd7,Kidney Beans
hkd7,Yogurt
hkd8,Sugar
hkd8,Yogurt
hkd8,Nutmeg
hkd8,Apple
hkd8,Cheese
hkd8,Eggs
hkd9,chocolate
hkd9,Sugar
hkd9,Ice cream
hkd9,Dill
hkd9,Onion
hkd9,Apple
hkd9,Milk
hkd9,Yogurt
hkd9,Nutmeg
hkd9,Unicorn
hkd9,Corn
hkd9,Eggs
hkd10,Apple
hkd10,Eggs
hkd10,Dill
hkd10,Unicorn
hkd10,Ice cream
hkd10,Sugar
hkd10,Milk
hkd10,chocolate
hkd10,Onion
hkd11,Unicorn
hkd11,Cheese
hkd11,Sugar
hkd11,Ice cream
hkd11,Bread
hkd11,Apple
hkd12,Cheese
hkd12,Yogurt
hkd12,Nutmeg
hkd12,chocolate
hkd12,Kidney Beans
hkd12,Sugar
hkd12,Apple
hkd12,Bread
hkd12,Ice cream
hkd12,Eggs
hkd12,Dill
hkd13,chocolate
hkd13,Unicorn
hkd13,Onion
hkd14,Ice cream
hkd14,Yogurt
hkd14,Sugar
hkd15,Kidney Beans
hkd15,Butter
hkd16,Yogurt
hkd17,Sugar
hkd17,Butter
hkd17,Cheese
hkd17,Apple
hkd17,Nutmeg
hkd17,Bread
hkd17,Ice cream
hkd18,Apple
hkd18,chocolate
hkd18,Yogurt
hkd18,Eggs
hkd19,Cheese
hkd19,Bread
hkd19,Kidney Beans
hkd19,Sugar
hkd20,Bread
hkd20,Sugar
hkd20,Corn
hkd20,Unicorn
hkd20,Milk
hkd20,Kidney Beans
hkd20,Nutmeg
hkd20,Ice cream
hkd21,Apple
hkd21,Cheese
hkd21,Ice cream
hkd21,Unicorn
hkd21,Sugar
hkd22,Kidney Beans
hkd22,Yogurt
hkd22,Cheese
hkd22,Unicorn
hkd22,Butter
hkd22,Apple
hkd23,Cheese
hkd23,Ice cream
hkd23,Dill
hkd23,Unicorn
hkd23,Eggs
hkd23,chocolate
hkd23,Bread
hkd23,Milk
hkd23,Yogurt
hkd23,Kidney Beans
hkd24,Kidney Beans
hkd24,Butter
hkd24,Ice cream
hkd24,Sugar
hkd24,Cheese
hkd24,Bread
hkd24,Eggs
hkd24,chocolate
hkd24,Unicorn
hkd25,Kidney Beans
hkd25,Milk
hkd25,Onion
hkd25,Nutmeg
hkd25,Bread
hkd25,Corn
hkd25,Unicorn
hkd25,Yogurt
hkd25,Eggs
hkd26,Eggs
hkd26,Yogurt
hkd26,Bread
hkd26,Butter
hkd26,chocolate
hkd26,Milk
hkd27,Corn
hkd27,chocolate
hkd27,Bread
hkd27,Cheese
hkd27,Unicorn
hkd27,Butter
hkd27,Kidney Beans
hkd27,Milk
hkd28,Butter
hkd28,Bread
hkd29,Butter
hkd29,Milk
hkd29,Unicorn
hkd29,Kidney Beans
hkd29,chocolate
hkd29,Nutmeg
hkd29,Yogurt
hkd29,Bread
hkd30,Onion
hkd30,Bread
hkd30,Apple
hkd30,Ice cream
hkd30,Yogurt
hkd31,chocolate
hkd31,Dill
hkd31,Corn
hkd31,Milk
hkd31,Unicorn
hkd32,Bread
hkd32,Yogurt
hkd32,Apple
hkd32,Dill
hkd32,Milk
hkd32,Butter
hkd32,Unicorn
hkd33,Cheese
hkd33,Eggs
hkd33,Kidney Beans
hkd34,Sugar
hkd34,Dill
hkd34,Nutmeg
hkd34,Milk
hkd35,Dill
hkd35,chocolate
hkd35,Onion
hkd35,Bread
hkd35,Ice cream
hkd36,Eggs
hkd36,Dill
hkd36,Unicorn
hkd36,Cheese
hkd36,Onion
hkd36,chocolate
hkd37,Cheese
hkd37,Apple
hkd37,Yogurt
hkd37,Nutmeg
hkd37,Corn
hkd37,Onion
hkd37,Dill
hkd37,Unicorn
hkd37,Kidney Beans
hkd37,chocolate
hkd37,Ice cream
hkd38,chocolate
hkd38,Ice cream
hkd38,Milk
hkd38,Nutmeg
hkd38,Eggs
hkd38,Corn
hkd39,Butter
hkd39,Kidney Beans
hkd39,Sugar
hkd40,Cheese
hkd40,Nutmeg
hkd40,Corn
hkd40,Eggs
hkd40,Bread
hkd40,Ice cream
hkd40,Yogurt
hkd41,Bread
hkd41,Butter
hkd41,Corn
