No,atConference,day,impressions,retweets,likes,userprofileclicks,urlClicks,hashtagClicks,detailExpands,follows,mediaViews,mediaEngagements
1,FALSE,2017-10-26,40,0,1,0,0,0,2,0,0,0
2,FALSE,2017-10-26,876,1,7,2,0,0,3,0,0,0
3,FALSE,2017-10-25,131,0,2,0,0,0,4,0,0,0
4,FALSE,2017-10-25,1449,2,8,8,0,0,2,0,0,0
5,FALSE,2017-10-26,147,0,3,0,0,0,2,0,20,2
6,FALSE,2017-10-24,85,0,1,0,0,0,1,0,0,0
7,FALSE,2017-10-24,986,0,6,0,0,0,0,0,0,0
8,FALSE,2017-10-23,11544,34,60,15,2,0,26,0,0,0
9,FALSE,2017-10-23,21,0,0,0,0,0,3,0,0,0
10,FALSE,2017-10-23,166,0,2,2,0,0,0,0,0,0
11,FALSE,2017-10-23,111,0,1,2,0,0,1,0,0,0
12,FALSE,2017-10-21,239,0,3,0,0,0,1,0,0,0
13,FALSE,2017-10-21,207,0,2,0,0,0,1,0,0,0
14,FALSE,2017-10-21,509,0,3,2,0,0,1,0,0,0
15,FALSE,2017-10-21,177,0,1,1,0,0,4,0,43,4
16,FALSE,2017-10-20,1824,3,10,5,14,0,2,0,0,0
17,FALSE,2017-10-20,3382,9,54,13,8,0,12,0,175,175
18,FALSE,2017-10-19,1807,1,33,10,0,0,3,0,0,0
19,FALSE,2017-10-19,110,0,0,1,0,0,5,0,0,0
20,FALSE,2017-10-18,1867,2,11,4,0,0,11,0,0,0
21,FALSE,2017-10-18,1382,2,1,2,0,0,1,0,0,0
22,FALSE,2017-10-18,92,0,1,0,0,0,2,0,12,2
23,FALSE,2017-10-18,1485,0,3,15,0,0,14,0,0,0
24,FALSE,2017-10-18,134,0,3,1,5,0,3,0,0,0
25,TRUE,2017-10-18,56,0,1,1,0,0,2,0,0,0
26,TRUE,2017-10-18,92,0,1,0,0,0,0,0,0,0
27,TRUE,2017-10-18,854,1,4,2,0,0,2,0,0,0
28,TRUE,2017-10-17,763,0,2,0,0,0,1,0,0,0
29,TRUE,2017-10-17,578,0,5,0,0,1,2,0,0,0
30,TRUE,2017-10-17,566,0,2,0,0,0,0,0,0,0
31,TRUE,2017-10-17,435,0,3,1,0,0,0,0,0,0
32,TRUE,2017-10-17,411,0,3,0,0,0,0,0,0,0
33,TRUE,2017-10-17,364,0,2,0,0,0,0,0,0,0
34,TRUE,2017-10-17,360,0,2,1,0,0,0,0,0,0
35,TRUE,2017-10-17,364,1,1,0,0,0,0,0,0,0
36,TRUE,2017-10-17,380,0,0,0,0,0,0,0,0,0
37,TRUE,2017-10-17,295,0,1,1,0,0,0,0,0,0
38,TRUE,2017-10-17,248,0,1,1,0,0,0,0,0,0
39,TRUE,2017-10-17,251,0,1,0,0,0,0,0,0,0
40,TRUE,2017-10-17,1382,1,5,0,0,1,2,0,0,0
41,TRUE,2017-10-17,569,0,0,0,0,0,0,0,0,0
42,TRUE,2017-10-17,643,0,0,0,0,0,0,0,0,0
43,TRUE,2017-10-17,336,0,0,0,0,0,0,0,0,0
44,TRUE,2017-10-17,283,0,0,0,0,0,0,0,0,0
45,TRUE,2017-10-17,228,0,1,1,0,0,1,0,0,0
46,TRUE,2017-10-17,200,0,0,0,0,0,0,0,0,0
47,TRUE,2017-10-17,195,0,1,0,0,0,0,0,0,0
48,TRUE,2017-10-17,507,1,1,0,0,0,3,0,0,0
49,TRUE,2017-10-17,184,0,1,1,0,0,0,0,0,0
50,TRUE,2017-10-17,205,0,1,0,0,0,0,0,0,0
51,TRUE,2017-10-17,178,0,0,0,0,0,0,0,0,0
52,TRUE,2017-10-17,174,0,0,0,0,0,0,0,0,0
53,TRUE,2017-10-17,971,0,2,2,0,0,1,0,0,0
54,TRUE,2017-10-17,414,0,1,0,0,0,1,0,0,0
55,TRUE,2017-10-17,466,0,2,0,0,0,0,0,0,0
56,TRUE,2017-10-17,614,2,3,0,0,0,0,0,0,0
57,TRUE,2017-10-17,225,0,3,0,0,0,0,0,0,0
58,TRUE,2017-10-17,161,0,1,0,0,0,0,0,0,0
59,TRUE,2017-10-17,161,0,1,0,0,0,1,0,0,0
60,TRUE,2017-10-17,168,0,1,0,0,0,0,0,0,0
61,TRUE,2017-10-17,144,0,0,0,0,0,0,0,0,0
62,TRUE,2017-10-17,131,0,2,0,0,0,0,0,0,0
63,TRUE,2017-10-17,135,0,0,0,0,0,0,0,0,0
64,TRUE,2017-10-17,126,0,0,0,0,0,0,0,0,0
65,TRUE,2017-10-17,110,0,0,0,0,0,0,0,0,0
66,TRUE,2017-10-17,112,0,0,1,0,0,0,0,0,0
67,TRUE,2017-10-17,106,0,0,0,0,0,0,0,0,0
68,TRUE,2017-10-17,127,0,0,0,1,0,0,0,0,0
69,TRUE,2017-10-17,220,1,1,0,0,0,0,0,0,0
70,TRUE,2017-10-17,273,1,1,0,0,0,0,0,0,0
71,TRUE,2017-10-17,168,0,0,1,0,0,0,0,0,0
72,TRUE,2017-10-17,200,0,1,0,0,0,0,0,0,0
73,TRUE,2017-10-17,204,0,1,0,0,0,0,0,0,0
74,TRUE,2017-10-17,149,0,3,0,0,0,0,0,0,0
75,TRUE,2017-10-17,1195,0,4,4,0,4,2,0,0,0
76,TRUE,2017-10-17,313,0,1,0,0,0,0,0,0,0
77,TRUE,2017-10-17,736,2,2,0,0,0,2,0,0,0
78,TRUE,2017-10-17,479,1,2,0,0,0,1,0,0,0
79,TRUE,2017-10-17,117,0,1,0,0,0,0,0,0,0
80,TRUE,2017-10-17,222,0,1,1,0,0,1,0,0,0
81,TRUE,2017-10-17,207,0,0,0,0,0,0,0,0,0
82,TRUE,2017-10-17,131,0,0,0,0,0,0,0,0,0
83,TRUE,2017-10-17,114,0,0,0,0,0,0,0,0,0
84,TRUE,2017-10-17,215,1,1,0,0,1,2,0,0,0
85,TRUE,2017-10-17,113,0,0,0,0,0,0,0,0,0
86,TRUE,2017-10-17,394,1,1,0,0,0,1,0,0,0
87,TRUE,2017-10-17,1797,2,6,3,0,1,3,0,0,0
88,TRUE,2017-10-17,342,0,0,0,0,1,0,0,0,0
89,TRUE,2017-10-17,460,0,0,0,0,0,2,0,0,0
90,TRUE,2017-10-17,230,0,0,0,0,0,0,0,0,0
91,TRUE,2017-10-17,147,0,0,0,0,0,0,0,0,0
92,TRUE,2017-10-17,105,0,0,0,0,0,0,0,0,0
93,TRUE,2017-10-17,122,0,0,0,0,0,0,0,0,0
94,TRUE,2017-10-17,125,0,0,0,0,0,0,0,0,0
95,TRUE,2017-10-17,145,0,0,0,0,0,1,0,0,0
96,TRUE,2017-10-17,797,1,0,0,0,0,0,0,0,0
97,TRUE,2017-10-17,340,0,0,0,0,0,0,0,0,0
98,TRUE,2017-10-17,376,0,0,0,0,0,0,0,0,0
99,TRUE,2017-10-17,174,0,0,0,0,0,0,0,0,0
100,TRUE,2017-10-17,129,0,0,0,0,0,0,0,0,0
101,TRUE,2017-10-17,70,0,0,0,0,0,0,0,0,0
102,TRUE,2017-10-17,134,0,0,0,0,0,0,0,0,0
103,TRUE,2017-10-17,584,0,0,0,0,0,0,0,0,0
104,TRUE,2017-10-17,319,0,0,0,0,0,0,0,0,0
105,TRUE,2017-10-17,512,1,0,0,0,2,0,0,0,0
106,TRUE,2017-10-17,343,0,0,0,0,0,0,0,0,0
107,TRUE,2017-10-17,384,0,0,0,0,0,0,0,0,0
108,TRUE,2017-10-17,148,0,0,1,0,0,0,0,0,0
109,TRUE,2017-10-17,132,0,0,0,0,0,0,0,0,0
110,TRUE,2017-10-17,174,0,0,0,0,0,0,0,0,0
111,TRUE,2017-10-17,136,0,0,0,0,0,0,0,0,0
112,TRUE,2017-10-17,135,0,0,0,0,0,0,0,0,0
113,TRUE,2017-10-17,203,1,0,0,0,0,0,0,0,0
114,TRUE,2017-10-17,632,0,0,1,0,0,0,0,0,0
115,TRUE,2017-10-17,340,0,0,1,0,0,1,0,0,0
116,TRUE,2017-10-17,403,0,0,0,0,0,0,0,0,0
117,TRUE,2017-10-17,193,0,0,0,0,0,0,0,0,0
118,TRUE,2017-10-17,145,0,0,0,0,0,0,0,0,0
119,TRUE,2017-10-17,33,0,0,0,0,0,0,0,0,0
120,TRUE,2017-10-17,36,0,0,0,0,0,0,0,0,0
121,TRUE,2017-10-17,185,0,0,0,0,0,0,0,0,0
122,TRUE,2017-10-17,216,0,0,0,0,0,0,0,0,0
123,TRUE,2017-10-17,156,0,0,0,0,0,0,0,0,0
124,TRUE,2017-10-17,122,0,0,0,0,0,0,0,0,0
125,TRUE,2017-10-17,118,0,0,0,0,0,0,0,0,0
126,TRUE,2017-10-17,764,0,0,0,0,0,2,0,0,0
127,TRUE,2017-10-17,426,0,0,1,0,0,0,0,0,0
128,TRUE,2017-10-17,560,0,1,0,0,0,0,0,0,0
129,TRUE,2017-10-17,18,0,0,0,0,0,0,0,0,0
130,TRUE,2017-10-17,300,0,0,0,0,0,0,0,0,0
131,TRUE,2017-10-17,241,0,0,0,0,0,0,0,0,0
132,TRUE,2017-10-17,305,1,1,0,0,0,0,0,0,0
133,TRUE,2017-10-17,167,0,0,0,0,0,0,0,0,0
134,TRUE,2017-10-17,226,0,1,0,0,1,0,0,0,0
135,TRUE,2017-10-17,210,0,0,0,0,0,1,0,0,0
136,TRUE,2017-10-17,121,0,0,0,0,0,0,0,0,0
137,TRUE,2017-10-17,190,0,0,0,0,0,0,0,0,0
138,TRUE,2017-10-17,210,0,0,0,0,0,0,0,0,0
139,TRUE,2017-10-17,153,0,0,0,0,0,1,0,0,0
140,TRUE,2017-10-17,155,0,0,0,0,0,1,0,0,0
141,TRUE,2017-10-17,136,0,0,0,0,0,0,0,0,0
142,TRUE,2017-10-17,137,0,0,0,1,0,0,0,0,0
143,TRUE,2017-10-17,127,0,0,0,0,0,0,0,0,0
144,TRUE,2017-10-17,120,0,0,0,0,0,0,0,0,0
145,TRUE,2017-10-17,141,0,0,0,0,0,0,0,0,0
146,TRUE,2017-10-17,147,0,0,0,0,0,1,0,0,0
147,TRUE,2017-10-17,155,0,0,0,0,0,0,0,0,0
148,TRUE,2017-10-17,109,0,0,0,0,0,0,0,0,0
149,TRUE,2017-10-17,119,0,0,0,0,0,0,0,0,0
150,TRUE,2017-10-17,126,0,0,0,0,0,0,0,0,0
151,TRUE,2017-10-17,106,0,0,0,0,0,0,0,0,0
152,TRUE,2017-10-17,145,0,1,0,0,0,0,0,0,0
153,TRUE,2017-10-17,180,0,0,1,0,0,1,0,0,0
154,TRUE,2017-10-17,148,0,0,0,0,0,0,0,0,0
155,TRUE,2017-10-17,18,0,0,0,0,0,1,0,0,0
156,TRUE,2017-10-17,1714,1,2,1,0,1,0,0,0,0
157,TRUE,2017-10-17,36,0,1,0,1,0,3,0,0,0
158,TRUE,2017-10-17,37,0,1,0,1,0,1,0,0,0
159,TRUE,2017-10-17,53,0,1,0,0,0,4,0,0,0
160,TRUE,2017-10-17,340,0,0,1,0,0,0,0,0,0
161,TRUE,2017-10-17,429,0,0,0,0,0,1,0,0,0
162,TRUE,2017-10-17,182,0,0,0,0,0,0,0,0,0
163,TRUE,2017-10-17,116,0,0,0,0,0,0,0,0,0
164,TRUE,2017-10-17,188,0,0,0,0,0,1,0,0,0
165,TRUE,2017-10-17,205,0,0,0,0,0,0,0,0,0
166,TRUE,2017-10-17,150,0,0,0,0,0,0,0,0,0
167,TRUE,2017-10-17,167,0,0,0,0,0,0,0,0,0
168,TRUE,2017-10-17,184,0,0,0,0,0,0,0,0,0
169,TRUE,2017-10-17,154,0,0,0,0,0,0,0,0,0
170,TRUE,2017-10-17,137,0,0,0,0,0,0,0,0,0
171,TRUE,2017-10-17,980,0,1,5,0,0,3,0,0,0
172,TRUE,2017-10-17,289,0,0,0,0,0,1,0,0,0
173,TRUE,2017-10-17,404,0,0,1,0,0,0,0,0,0
174,TRUE,2017-10-17,282,0,0,0,0,0,0,0,0,0
175,TRUE,2017-10-17,251,0,0,0,0,0,0,0,0,0
176,TRUE,2017-10-17,233,0,0,0,0,0,0,0,0,0
177,TRUE,2017-10-17,727,0,0,3,0,0,0,0,0,0
178,TRUE,2017-10-17,288,0,1,0,1,0,0,0,0,0
179,TRUE,2017-10-17,31,0,1,0,0,0,2,0,0,0
180,TRUE,2017-10-17,395,0,0,0,0,0,1,0,0,0
181,TRUE,2017-10-17,253,0,0,0,0,0,0,0,0,0
182,TRUE,2017-10-17,250,0,0,0,0,0,0,0,0,0
183,TRUE,2017-10-17,281,0,0,0,0,0,1,0,0,0
184,TRUE,2017-10-17,245,0,0,0,0,0,0,0,0,0
185,TRUE,2017-10-17,171,0,0,0,0,0,0,0,0,0
186,TRUE,2017-10-17,168,0,1,0,0,0,0,0,0,0
187,TRUE,2017-10-17,164,0,0,0,0,0,0,0,0,0
188,TRUE,2017-10-17,1094,1,2,0,0,1,2,0,0,0
189,TRUE,2017-10-17,260,0,0,0,0,0,1,0,0,0
190,TRUE,2017-10-17,338,0,0,0,0,0,0,0,0,0
191,TRUE,2017-10-17,285,0,0,0,0,0,0,0,0,0
192,TRUE,2017-10-17,287,0,0,0,0,0,0,0,0,0
193,TRUE,2017-10-17,226,0,1,0,0,1,1,0,0,0
194,TRUE,2017-10-17,181,0,0,0,0,0,0,0,0,0
195,TRUE,2017-10-17,232,0,1,0,0,1,3,0,0,0
196,TRUE,2017-10-17,1066,1,2,0,0,0,0,0,0,0
197,TRUE,2017-10-17,1132,1,6,0,5,0,2,0,13,13
198,TRUE,2017-10-16,193,0,1,0,0,0,0,0,0,0
199,TRUE,2017-10-16,472,1,1,0,7,0,1,0,0,0
200,TRUE,2017-10-16,253,0,0,1,0,0,1,0,0,0
201,TRUE,2017-10-16,246,0,0,0,0,0,0,0,0,0
202,TRUE,2017-10-16,233,0,2,0,0,0,0,0,0,0
203,TRUE,2017-10-16,188,0,0,0,0,1,0,0,0,0
204,TRUE,2017-10-16,728,1,2,0,2,0,0,0,0,0
205,TRUE,2017-10-16,404,0,2,0,0,0,7,0,0,0
206,TRUE,2017-10-16,1436,2,1,6,0,0,7,0,0,0
207,TRUE,2017-10-16,415,0,0,0,0,0,3,0,0,0
208,TRUE,2017-10-16,512,0,0,0,0,0,0,0,0,0
209,TRUE,2017-10-16,278,0,1,0,0,1,0,0,0,0
210,TRUE,2017-10-16,267,0,0,0,0,0,1,0,0,0
211,TRUE,2017-10-16,293,0,1,0,0,0,0,0,0,0
212,TRUE,2017-10-16,845,0,0,1,0,0,1,0,0,0
213,TRUE,2017-10-16,571,0,1,2,3,0,1,0,9,9
214,TRUE,2017-10-16,634,0,1,0,0,0,0,0,0,0
215,TRUE,2017-10-16,262,0,1,0,0,0,0,0,0,0
216,TRUE,2017-10-16,383,0,3,0,5,0,1,0,0,0
217,TRUE,2017-10-16,500,0,4,0,0,0,1,0,0,0
218,TRUE,2017-10-16,336,0,2,0,0,0,2,0,0,0
219,TRUE,2017-10-16,273,0,2,0,0,0,0,0,0,0
220,TRUE,2017-10-16,325,0,2,0,0,0,1,0,0,0
221,TRUE,2017-10-16,356,0,1,0,0,0,0,0,0,0
222,TRUE,2017-10-16,264,0,1,0,0,0,0,0,0,0
223,TRUE,2017-10-16,227,0,1,0,0,1,0,0,0,0
224,TRUE,2017-10-16,329,0,3,0,0,0,0,0,0,0
225,TRUE,2017-10-16,348,0,2,0,0,0,0,0,0,0
226,TRUE,2017-10-16,226,0,1,0,0,0,0,0,0,0
227,TRUE,2017-10-16,219,0,1,0,0,0,0,0,0,0
228,TRUE,2017-10-16,217,0,1,0,0,0,2,0,0,0
229,TRUE,2017-10-16,250,0,2,0,0,0,0,0,0,0
230,TRUE,2017-10-16,233,0,1,0,0,0,0,0,0,0
231,TRUE,2017-10-16,275,0,4,0,0,0,2,0,0,0
