,target,shape,surface,color
0,edible,convex,smooth,yellow
1,edible,bell,smooth,white
2,poisonous,convex,scaly,white
3,edible,convex,smooth,gray
4,edible,convex,scaly,yellow
5,edible,bell,smooth,white
6,edible,bell,scaly,white
7,poisonous,convex,scaly,white
8,edible,bell,smooth,yellow
9,edible,convex,scaly,yellow
10,edible,convex,scaly,yellow
11,edible,bell,smooth,yellow
12,poisonous,convex,scaly,white
13,edible,convex,fibrous,brown
14,edible,sunken,fibrous,gray
15,edible,flat,fibrous,white
16,poisonous,convex,smooth,brown
17,poisonous,convex,scaly,white
18,poisonous,convex,smooth,brown
19,edible,bell,smooth,yellow
20,poisonous,convex,scaly,brown
21,edible,bell,scaly,yellow
22,edible,bell,scaly,white
23,edible,bell,smooth,white
24,poisonous,flat,smooth,white
25,edible,convex,scaly,yellow
26,edible,convex,scaly,white
27,edible,flat,fibrous,brown
28,edible,convex,smooth,yellow
29,edible,bell,smooth,yellow
30,poisonous,convex,scaly,white
31,edible,convex,scaly,yellow
32,edible,convex,scaly,brown
33,edible,bell,scaly,yellow
34,edible,convex,fibrous,yellow
35,edible,sunken,fibrous,gray
36,poisonous,convex,scaly,brown
37,edible,convex,fibrous,yellow
38,edible,bell,smooth,yellow
39,edible,bell,scaly,yellow
40,edible,convex,scaly,yellow
41,edible,convex,fibrous,brown
42,poisonous,convex,scaly,white
43,edible,convex,smooth,yellow
44,edible,convex,scaly,white
45,edible,convex,scaly,yellow
46,edible,convex,smooth,white
47,edible,convex,scaly,yellow
48,edible,flat,scaly,yellow
49,edible,convex,scaly,brown
50,edible,convex,smooth,white
51,edible,bell,smooth,white
52,poisonous,convex,scaly,brown
53,poisonous,convex,smooth,white
54,edible,bell,scaly,yellow
55,edible,flat,fibrous,gray
56,edible,bell,smooth,white
57,edible,convex,smooth,yellow
58,edible,convex,scaly,brown
59,edible,sunken,fibrous,gray
60,edible,bell,scaly,yellow
61,edible,bell,smooth,yellow
62,edible,bell,scaly,yellow
63,edible,bell,scaly,white
64,edible,flat,smooth,brown
65,edible,convex,smooth,white
66,edible,flat,scaly,yellow
67,edible,convex,scaly,yellow
68,edible,convex,fibrous,gray
69,edible,flat,fibrous,yellow
70,edible,bell,scaly,white
71,edible,flat,fibrous,yellow
72,edible,convex,scaly,brown
73,edible,bell,smooth,yellow
74,edible,flat,smooth,yellow
75,edible,convex,smooth,white
76,edible,flat,scaly,brown
77,poisonous,convex,scaly,brown
78,edible,flat,scaly,brown
79,edible,convex,smooth,brown
80,poisonous,convex,scaly,white
81,edible,flat,fibrous,gray
82,edible,convex,fibrous,gray
83,edible,convex,scaly,yellow
84,edible,convex,smooth,brown
85,edible,bell,smooth,white
86,edible,convex,smooth,white
87,edible,flat,scaly,brown
88,edible,sunken,fibrous,brown
89,edible,convex,fibrous,brown
90,edible,bell,smooth,white
91,edible,convex,scaly,yellow
92,edible,convex,scaly,yellow
93,edible,convex,smooth,brown
94,edible,convex,smooth,white
95,edible,flat,scaly,brown
96,edible,convex,smooth,yellow
97,edible,bell,smooth,white
98,edible,convex,scaly,white
99,edible,convex,fibrous,brown
100,edible,bell,smooth,yellow
101,edible,flat,scaly,yellow
102,edible,convex,scaly,yellow
103,edible,bell,scaly,white
104,edible,convex,scaly,yellow
105,edible,convex,scaly,yellow
106,edible,bell,scaly,white
107,edible,bell,scaly,white
108,edible,convex,smooth,yellow
109,edible,convex,smooth,yellow
110,edible,sunken,fibrous,gray
111,edible,convex,fibrous,white
112,edible,convex,smooth,yellow
113,poisonous,convex,scaly,white
114,edible,convex,scaly,yellow
115,edible,sunken,fibrous,gray
116,edible,convex,scaly,yellow
117,edible,convex,smooth,yellow
118,edible,sunken,fibrous,brown
119,poisonous,convex,smooth,white
120,edible,convex,scaly,white
121,poisonous,flat,scaly,brown
122,edible,flat,smooth,gray
123,edible,convex,smooth,yellow
124,edible,convex,smooth,white
125,edible,bell,smooth,yellow
126,edible,flat,fibrous,gray
127,edible,convex,smooth,white
128,edible,bell,smooth,white
129,edible,bell,smooth,white
130,edible,bell,scaly,white
131,edible,flat,smooth,white
132,edible,convex,scaly,yellow
133,edible,flat,smooth,white
134,poisonous,convex,scaly,white
135,edible,flat,fibrous,white
136,edible,convex,scaly,yellow
137,poisonous,convex,smooth,brown
138,edible,bell,smooth,yellow
139,edible,convex,scaly,brown
140,edible,bell,scaly,yellow
