Title,AirDate,Rating,Num_Votes,DirectedBy
Pilot,2005-03-24,7.5,4349,Ken Kwapis
Diversity Day,2005-03-29,8.3,4213,Ken Kwapis
Health Care,2005-04-05,7.8,3536,Ken Whittingham
The Alliance,2005-04-12,8.1,3428,Bryan Gordon
Basketball,2005-04-19,8.4,3745,Greg Daniels
Hot Girl,2005-04-26,7.8,3372,Amy Heckerling
The Dundies,2005-09-20,8.7,3780,Greg Daniels
Sexual Harassment,2005-09-27,8.2,3218,Ken Kwapis
Office Olympics,2005-10-04,8.4,3218,Paul Feig
The Fire,2005-10-11,8.4,3183,Ken Kwapis
Halloween,2005-10-18,8.1,2992,Paul Feig
The Fight,2005-11-01,8.2,2981,Ken Kwapis
The Client,2005-11-08,8.6,3087,Greg Daniels
Performance Review,2005-11-15,8.2,2828,Paul Feig
E-Mail Surveillance,2005-11-22,8.4,2940,Paul Feig
Christmas Party,2005-12-06,8.9,3204,Charles McDougall
Booze Cruise,2006-01-05,8.6,3115,Ken Kwapis
The Injury,2006-01-12,9.1,3783,Bryan Gordon
The Secret,2006-01-19,8.3,2762,Dennie Gordon
The Carpet,2006-01-26,7.9,2745,Victor Nelli Jr.
Boys and Girls,2006-02-02,8.2,2723,Dennie Gordon
Valentine's Day,2006-02-09,8.3,2731,Greg Daniels
Dwight's Speech,2006-03-02,8.5,2875,Charles McDougall
Take Your Daughter to Work Day,2006-03-16,8.3,2819,Victor Nelli Jr.
Michael's Birthday,2006-03-30,8.1,2719,Ken Whittingham
Drug Testing,2006-04-27,8.4,2783,Greg Daniels
Conflict Resolution,2006-05-04,8.7,2838,Charles McDougall
Casino Night,2006-05-11,9.4,4195,Ken Kwapis
Gay Witch Hunt,2006-09-21,9.0,3608,Ken Kwapis
The Convention,2006-09-28,8.2,2663,Ken Whittingham
The Coup,2006-10-05,8.6,2787,Greg Daniels
Grief Counseling,2006-10-12,8.0,2686,Roger Nygard
Initiation,2006-10-19,8.2,2622,Randall Einhorn
Diwali,2006-11-02,8.0,2697,Miguel Arteta
Branch Closing,2006-11-09,8.6,2642,Tucker Gates
The Merger,2006-11-16,8.7,2768,Ken Whittingham
The Convict,2006-11-30,8.3,2772,Jeffrey Blitz
A Benihana Christmas,2006-12-14,8.8,2935,Harold Ramis
Back from Vacation,2007-01-04,8.5,2623,Julian Farino
Traveling Salesmen,2007-01-11,8.6,2688,Greg Daniels
The Return,2007-01-18,8.8,2822,Greg Daniels
Ben Franklin,2007-02-01,8.1,2618,Randall Einhorn
Phyllis' Wedding,2007-02-08,8.2,2641,Ken Whittingham
Business School,2007-02-15,8.9,3028,Joss Whedon
Cocktails,2007-02-22,8.5,2622,J. J. Abrams
The Negotiation,2007-04-05,9.0,2968,Jeffrey Blitz
Safety Training,2007-04-12,8.8,2798,Harold Ramis
Product Recall,2007-04-26,8.8,2790,Randall Einhorn
Women's Appreciation,2007-05-03,8.8,2785,Tucker Gates
Beach Games,2007-05-10,9.1,3200,Harold Ramis
The Job,2007-05-17,9.3,3461,Ken Kwapis
Fun Run,2007-09-27,8.8,3262,Greg Daniels
Dunder Mifflin Infinity,2007-10-04,8.3,2605,Craig Zisk
Launch Party,2007-10-11,8.4,2517,Ken Whittingham
Money,2007-10-18,8.7,2707,Paul Lieberstein
Local Ad,2007-10-25,8.8,2767,Jason Reitman
Branch Wars,2007-11-01,8.5,2545,Joss Whedon
Survivor Man,2007-11-08,8.2,2459,Paul Feig
The Deposition,2007-11-15,8.7,2574,Julian Farino
Dinner Party,2008-04-10,9.4,4824,Paul Feig
Chair Model,2008-04-17,8.1,2439,Jeffrey Blitz
Night Out,2008-04-24,8.6,2536,Ken Whittingham
